80 996
35 48 78
35 49 66
35 50 18
35 51 73
35 52 6
35 53 69
35 54 44
35 55 31
35 56 73
35 57 51
36 40 26
36 41 42
36 42 90
36 43 58
36 44 37
36 45 18
36 46 9
36 47 93
36 48 77
36 49 45
36 50 30
36 51 8
36 52 0
36 53 0
36 54 72
36 55 67
36 56 28
36 57 78
37 40 55
37 41 45
37 42 45
37 43 68
37 44 20
37 45 92
37 46 26
37 47 96
37 48 8
37 49 71
37 50 10
37 51 79
37 52 49
37 53 98
37 54 44
37 55 77
37 56 89
37 57 82
38 40 52
38 41 62
38 42 24
38 43 52
38 44 43
38 45 6
38 46 50
38 47 80
38 48 32
38 49 88
38 50 36
38 51 58
38 52 91
38 53 95
38 54 80
38 55 75
38 56 34
38 57 8
39 40 25
39 41 95
39 42 35
39 43 25
39 44 97
39 45 50
39 46 79
39 47 48
39 48 22
39 49 54
39 50 75
39 51 45
39 52 66
39 53 2
39 54 19
39 55 84
39 56 21
39 57 26
40 58 10
40 59 80
40 60 95
40 61 80
40 62 46
40 63 58
40 64 7
40 65 43
40 66 78
40 67 3
40 68 5
40 69 44
41 58 84
41 59 48
41 60 92
41 61 91
41 62 80
41 63 57
41 64 77
41 65 99
41 66 29
41 67 26
41 68 68
41 69 52
42 58 58
42 59 28
42 60 14
42 61 58
42 62 64
42 63 92
42 64 93
42 65 39
42 66 0
42 67 61
42 68 67
42 69 44
43 58 49
43 59 37
43 60 17
43 61 5
43 62 88
43 63 77
43 64 12
43 65 22
43 66 83
43 67 15
43 68 11
43 69 19
44 58 45
44 59 30
44 60 40
44 61 49
44 62 80
44 63 88
44 64 20
44 65 46
44 66 98
44 67 55
44 68 59
44 69 7
45 58 90
45 59 41
45 60 6
45 61 54
45 62 11
45 63 52
45 64 77
45 65 69
45 66 22
45 67 80
45 68 34
45 69 71
46 58 1
46 59 43
46 60 67
46 61 50
46 62 37
46 63 8
46 64 87
46 65 96
46 66 82
46 67 72
46 68 67
46 69 41
47 58 50
47 59 51
47 60 52
47 61 52
47 62 44
47 63 55
47 64 68
47 65 29
47 66 26
47 67 32
47 68 26
47 69 21
48 58 11
48 59 43
48 60 50
48 61 19
48 62 23
48 63 90
48 64 87
48 65 65
48 66 15
48 67 53
48 68 6
48 69 99
49 58 49
49 59 1
49 60 94
49 61 92
49 62 43
49 63 0
49 64 83
49 65 51
49 66 34
49 67 37
49 68 15
49 69 95
50 58 16
50 59 70
50 60 7
50 61 29
50 62 79
50 63 94
50 64 36
50 65 58
50 66 10
50 67 34
50 68 12
50 69 16
51 58 90
51 59 94
51 60 30
51 61 12
51 62 43
51 63 35
51 64 0
51 65 94
51 66 57
51 67 14
51 68 35
51 69 77
52 58 43
52 59 1
52 60 62
52 61 23
52 62 58
52 63 66
52 64 44
52 65 49
52 66 70
52 67 32
52 68 71
52 69 88
53 58 42
53 59 85
53 60 54
53 61 41
53 62 31
53 63 4
53 64 82
53 65 26
53 66 33
53 67 68
53 68 63
53 69 21
54 58 18
54 59 57
54 60 26
54 61 51
54 62 39
54 63 13
54 64 17
54 65 54
54 66 84
54 67 66
54 68 41
54 69 48
55 58 2
55 59 76
55 60 66
55 61 76
55 62 100
55 63 35
55 64 70
55 65 65
55 66 11
55 67 91
55 68 32
55 69 4
56 58 48
56 59 42
56 60 90
56 61 100
56 62 23
56 63 1
56 64 57
56 65 89
56 66 50
56 67 87
56 68 38
56 69 78
57 58 91
57 59 80
57 60 11
57 61 13
57 62 52
57 63 32
57 64 79
57 65 63
57 66 69
57 67 21
57 68 21
57 69 96
58 70 61
58 71 77
58 72 23
58 73 24
58 74 88
58 75 46
58 76 78
58 77 51
58 78 92
58 79 42
59 70 31
59 71 90
59 72 20
59 73 9
59 74 80
59 75 81
59 76 90
59 77 92
59 78 38
59 79 38
60 70 45
60 71 85
60 72 88
60 73 33
60 74 68
60 75 47
60 76 72
60 77 2
60 78 82
60 79 84
61 70 6
61 71 95
61 72 33
61 73 26
61 74 29
61 75 73
61 76 38
61 77 67
61 78 79
61 79 32
62 70 88
62 71 27
62 72 76
62 73 95
62 74 58
62 75 46
62 76 100
62 77 40
62 78 35
62 79 86
63 70 73
63 71 12
63 72 75
63 73 86
63 74 73
63 75 35
63 76 4
63 77 94
63 78 89
63 79 42
64 70 43
64 71 100
64 72 41
64 73 31
64 74 45
64 75 27
64 76 6
64 77 13
64 78 56
64 79 40
65 70 44
65 71 72
65 72 23
65 73 95
65 74 32
65 75 45
65 76 55
65 77 96
65 78 9
65 79 64
66 70 92
66 71 61
66 72 17
66 73 30
66 74 95
66 75 61
66 76 39
66 77 37
66 78 10
66 79 37
67 70 69
67 71 68
67 72 65
67 73 84
67 74 27
67 75 24
67 76 38
67 77 26
67 78 72
67 79 55
68 70 97
68 71 1
68 72 43
68 73 80
68 74 58
68 75 24
68 76 80
68 77 49
68 78 17
68 79 59
69 70 16
69 71 85
69 72 30
69 73 68
69 74 33
69 75 90
69 76 82
69 77 66
69 78 74
69 79 29
